id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Srsf1	4	3.8107e-07	4.5923e-06	0.002475	1	4	-4.8924	0.99855	0.99873	0.999995	1063	0	-4.8924
Smarce1	4	6.5266e-07	4.5923e-06	0.002475	2	4	-4.1526	1.0	1.0	0.999995	1078	0	-4.1526
Emg1	4	1.5452e-05	2.2961e-05	0.008251	3	2	-2.4136	0.7477	0.74829	0.999995	769	1	-2.4136
Phf5a	4	2.6943e-05	4.1331e-05	0.011139	4	4	-3.8745	0.99997	0.99999	0.999995	1077	0	-3.8745
Wdr82	4	3.9802e-05	6.8884e-05	0.014851	5	4	-4.0231	0.99403	0.99417	0.999995	1045	0	-4.0231
Rtf1	4	6.8809e-05	0.00015155	0.027228	6	4	-3.2915	0.99993	0.99995	0.999995	1076	0	-3.2915
Nop2	4	0.00013797	0.00049138	0.073639	7	4	-3.8086	0.99986	0.99985	0.999995	1075	0	-3.8086
Zfp830	4	0.00015923	0.00054648	0.073639	8	4	-2.709	0.99984	0.99984	0.999995	1074	0	-2.709
Dnmt1	4	0.00017372	0.00067507	0.080858	9	4	-3.8338	0.99983	0.99981	0.999995	1073	0	-3.8338
Wdr4	4	0.00023781	0.00091387	0.098082	10	3	-4.2128	0.66527	0.67784	0.999995	705	1	-4.2128
Bcl6	4	0.00026063	0.0010241	0.098082	11	4	-4.207	0.99833	0.99842	0.999995	1060	0	-4.207
Sdha	4	0.0002799	0.0010976	0.098082	12	3	-3.883	0.1012	0.20581	0.965384	211	1	-3.883
Nop56	4	0.00031613	0.0012353	0.098082	13	4	-3.3314	0.99968	0.99966	0.999995	1072	0	-3.3314
Rfc2	4	0.00036307	0.0014098	0.098082	14	4	-2.1468	0.99964	0.99963	0.999995	1071	0	-2.1468
Elp5	4	0.000383	0.0014558	0.098082	15	4	-3.2793	0.99777	0.99777	0.999995	1057	0	-3.2793
Hat1	4	0.00038432	0.0014558	0.098082	16	4	-2.352	0.99962	0.9996	0.999995	1070	0	-2.352
Kdm1a	4	0.00046868	0.0018048	0.114444	17	4	-3.8503	0.99493	0.99501	0.999995	1048	0	-3.8503
Ikbkg	4	0.00049422	0.0019334	0.115787	18	4	-2.4102	0.99542	0.99542	0.999995	1052	0	-2.4102
Rnf40	4	0.00054608	0.0021722	0.120545	19	4	-2.2	0.99945	0.99947	0.999995	1069	0	-2.2
Smarcb1	4	0.00056395	0.0022364	0.120545	20	4	-2.0765	0.99944	0.99947	0.999995	1068	0	-2.0765
Arid1a	4	0.0006359	0.0024936	0.128006	21	4	-2.4069	0.99936	0.99941	0.999995	1067	0	-2.4069
Nol9	4	0.00071711	0.0027875	0.136589	22	4	-3.5903	0.993	0.99313	0.999995	1042	0	-3.5903
Chek1	4	0.00079716	0.0030263	0.141842	23	3	-3.3555	0.98026	0.98047	0.999995	1013	0	-3.3555
Kat5	4	0.00084271	0.0032927	0.147896	24	4	-3.7723	0.99741	0.99741	0.999995	1055	0	-3.7723
Brca1	4	0.0009671	0.003706	0.159802	25	4	-1.797	0.99903	0.99911	0.999995	1066	0	-1.797
Sfpq	4	0.0010509	0.0040274	0.166984	26	3	-3.6592	0.89011	0.89085	0.999995	915	0	-3.6592
Wdr18	4	0.0012723	0.0049367	0.195699	27	4	-2.8376	0.99807	0.99812	0.999995	1059	0	-2.8376
Dimt1	4	0.0013707	0.0053408	0.195699	28	4	-2.708	0.99863	0.99877	0.999995	1065	0	-2.708
Smc6	4	0.0013848	0.0053959	0.195699	29	4	-2.4196	0.99862	0.99876	0.999995	1064	0	-2.4196
Ttk	4	0.0014645	0.0057266	0.195699	30	4	-2.6808	0.99854	0.9987	0.999995	1062	0	-2.6808
Smarca4	4	0.0014821	0.0057633	0.195699	31	2	-1.4531	0.28731	0.41602	0.975854	448	1	-1.4531
Las1l	4	0.0014926	0.0058093	0.195699	32	4	-2.7463	0.99466	0.99475	0.999995	1047	0	-2.7463
Tgs1	4	0.0015933	0.0061583	0.197874	33	3	-2.8906	0.63701	0.65682	0.999995	690	1	-2.8906
Mybbp1a	4	0.0016263	0.0062409	0.197874	34	4	-1.6466	0.99837	0.99846	0.999995	1061	0	-1.6466
Upf1	4	0.0017038	0.006544	0.201556	35	3	-3.0406	0.919	0.91863	0.999995	942	0	-3.0406
Ezh2	4	0.0017691	0.0067461	0.202008	36	4	-3.3173	0.99785	0.99789	0.999995	1058	0	-3.3173
Mcm4	4	0.0021456	0.0079125	0.230533	37	4	-3.1306	0.99443	0.99457	0.999995	1046	0	-3.1306
Mepce	4	0.0025087	0.0090698	0.257295	38	4	-3.2411	0.99749	0.9975	0.999995	1056	0	-3.2411
Lsm2	4	0.0034557	0.012248	0.327578	39	3	-2.6611	0.89978	0.90007	0.999995	925	0	-2.6611
Setdb1	4	0.0035108	0.012459	0.327578	40	3	-2.2292	0.47288	0.5517	0.999995	586	1	-2.2292
Sf3b1	4	0.003939	0.013846	0.335293	41	4	-2.6479	0.99156	0.99178	0.999995	1038	0	-2.6479
Ogt	4	0.0039704	0.013928	0.335293	42	4	-2.4964	0.9954	0.99541	0.999995	1051	0	-2.4964
Rbbp4	4	0.0040127	0.014103	0.335293	43	2	-1.8283	0.59609	0.628	0.999995	660	1	-1.8283
Wdr77	4	0.0040832	0.014323	0.335293	44	3	-2.6204	0.94166	0.94131	0.999995	967	0	-2.6204
Nipbl	4	0.0041621	0.014571	0.335293	45	2	-2.0796	0.91839	0.91801	0.999995	941	0	-2.0796
Jade2	4	0.0042738	0.014874	0.335293	46	4	-1.2157	0.99573	0.9957	0.999995	1054	0	-1.2157
Brd9	4	0.0042904	0.01493	0.335293	47	4	-1.8321	0.99571	0.99569	0.999995	1053	0	-1.8321
Hmgb1	4	0.0048096	0.016601	0.365225	48	4	-1.5939	0.99519	0.99523	0.999995	1050	0	-1.5939
Ftsj3	4	0.0050113	0.01729	0.372772	49	4	-2.3185	0.99499	0.99505	0.999995	1049	0	-2.3185
Ep300	4	0.0053654	0.018585	0.392836	50	4	-2.7131	0.98896	0.9893	0.999995	1035	0	-2.7131
Tex10	4	0.005988	0.020652	0.428123	51	4	-2.0106	0.99401	0.99414	0.999995	1044	0	-2.0106
